,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
910,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'","bayberry, blue cohosh, cayenne, ephedra, and licorice)",0
911,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'","', 'Avoid potassium-containing products",0
912,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'",Potassium products increase the risk of hyperkalemia,0
913,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'","', 'Limit salt intake",0
914,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'",Salt may attenuate the antihypertensive effect,0
915,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'","', 'Take separate from antacids",0
916,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'",Take at least 2 hours before or after antacids,0
917,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'",Taking this medication with antacids can reduce absorption,0
918,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'",Taking this medication with antacids can reduce absorption,0
919,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'","', 'Take with or without food",0
920,Fosinopril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.']",233,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.', 'Take with or without food. The absorption is unaffected by food.'",The absorption is unaffected by food,0
922,Entacapone,['Take with or without food. The absorption is unaffected by food.'],234,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
923,Entacapone,['Take with or without food. The absorption is unaffected by food.'],234,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
925,Zidovudine,['Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.'],235,'Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.','Take with or without food,0
926,Zidovudine,['Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.'],235,'Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.',The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC,0
928,Darifenacin,['Take with or without food. The absorption is unaffected by food.'],236,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
929,Darifenacin,['Take with or without food. The absorption is unaffected by food.'],236,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
931,Oxycodone,"['Avoid alcohol.', 'Take with or without food. Food does not significantly affect absorption.']",237,"'Avoid alcohol.', 'Take with or without food. Food does not significantly affect absorption.'",'Avoid alcohol,0
932,Oxycodone,"['Avoid alcohol.', 'Take with or without food. Food does not significantly affect absorption.']",237,"'Avoid alcohol.', 'Take with or without food. Food does not significantly affect absorption.'","', 'Take with or without food",0
933,Oxycodone,"['Avoid alcohol.', 'Take with or without food. Food does not significantly affect absorption.']",237,"'Avoid alcohol.', 'Take with or without food. Food does not significantly affect absorption.'",Food does not significantly affect absorption,0
935,Phenindione,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic.']",238,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
937,Flutamide,['Take with or without food. The absorption is unaffected by food.'],239,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
938,Flutamide,['Take with or without food. The absorption is unaffected by food.'],239,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
940,Tolmetin,"['Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.']",240,"'Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.'",'Avoid alcohol,0
941,Tolmetin,"['Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.']",240,"'Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.'","Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed",0
942,Tolmetin,"['Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.']",240,"'Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.'","', 'Take with or without food",0
943,Tolmetin,"['Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.']",240,"'Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.'",Food (or milk) can decrease oral bioavailability by 16%,0
944,Tolmetin,"['Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.']",240,"'Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.', 'Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.'","Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%",0
946,Cimetidine,"['Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.']",241,"'Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.'",'Take with food,0
947,Cimetidine,"['Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.']",241,"'Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.'",Food increases bioavailability,0
948,Cimetidine,"['Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.']",241,"'Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.'","For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration",0
950,Haloperidol,['Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.'],242,'Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.','Avoid alcohol,0
951,Haloperidol,['Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.'],242,'Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.',Alcohol may potential hypotension and CNS adverse effects,0
953,Ritonavir,"[""Avoid St. John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.""]",243,"""Avoid St John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.""","""Avoid St John's Wort",0
954,Ritonavir,"[""Avoid St. John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.""]",243,"""Avoid St John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.""",Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy,0
956,Nitazoxanide,['Take with food. Food improves oral bioavailability.'],244,'Take with food. Food improves oral bioavailability.','Take with food,0
957,Nitazoxanide,['Take with food. Food improves oral bioavailability.'],244,'Take with food. Food improves oral bioavailability.',Food improves oral bioavailability,0
959,Dextrothyroxine,['Take with or without food. The absorption is unaffected by food.'],245,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
960,Dextrothyroxine,['Take with or without food. The absorption is unaffected by food.'],245,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
962,Vancomycin,['Take with or without food.'],246,'Take with or without food.','Take with or without food,0
964,Aminocaproic acid,['Take with or without food. The absorption is unaffected by food.'],247,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
965,Aminocaproic acid,['Take with or without food. The absorption is unaffected by food.'],247,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
967,Dextromethorphan,['Take with or without food. The absorption is unaffected by food.'],248,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
968,Dextromethorphan,['Take with or without food. The absorption is unaffected by food.'],248,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
970,Cisplatin,"['Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.']",249,"'Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.'",'Avoid echinacea,0
971,Cisplatin,"['Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.']",249,"'Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.'","Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants",0
972,Cisplatin,"['Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.']",249,"'Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.'",Monitor for reduced efficacy of the immunosuppressant during concomitant use,0
974,Albendazole,['Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.'],250,'Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.','Take with a high fat meal,0
975,Albendazole,['Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.'],250,'Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.',A high fat meal increases solubility and absorption,0
976,Albendazole,['Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.'],250,'Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.',Take with food when treating systemic infections,0
978,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'",'Avoid hypertensive herbs (e,0
980,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'","bayberry, blue cohosh, cayenne, ephedra, and licorice)",0
981,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'","', 'Avoid potassium-containing products",0
982,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'",Potassium products increase the risk of hyperkalemia,0
983,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'","', 'Limit salt intake",0
984,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'",Salt may attenuate the antihypertensive effect,0
985,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'","', 'Take with or without food",0
986,Trandolapril,"['Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.']",251,"'Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).', 'Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.', 'Limit salt intake. Salt may attenuate the antihypertensive effect.', 'Take with or without food. The absorption is unaffected by food.'",The absorption is unaffected by food,0
988,Alitretinoin,"['Take at the same time every day.', 'Take with food. Food increases the bioavailability of alitretinoin capsules.']",252,"'Take at the same time every day.', 'Take with food. Food increases the bioavailability of alitretinoin capsules.'",'Take at the same time every day,0
989,Alitretinoin,"['Take at the same time every day.', 'Take with food. Food increases the bioavailability of alitretinoin capsules.']",252,"'Take at the same time every day.', 'Take with food. Food increases the bioavailability of alitretinoin capsules.'","', 'Take with food",0
990,Alitretinoin,"['Take at the same time every day.', 'Take with food. Food increases the bioavailability of alitretinoin capsules.']",252,"'Take at the same time every day.', 'Take with food. Food increases the bioavailability of alitretinoin capsules.'",Food increases the bioavailability of alitretinoin capsules,0
992,Metolazone,['Take with food. Food reduces irritation.'],253,'Take with food. Food reduces irritation.','Take with food,0
993,Metolazone,['Take with food. Food reduces irritation.'],253,'Take with food. Food reduces irritation.',Food reduces irritation,0
995,Lercanidipine,"['Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.', 'Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.', ""Exercise caution with St. John's Wort. Lercanidipine is metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer."", 'Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.']",254,"'Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.', 'Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.', ""Exercise caution with St John's Wort. Lercanidipine is metabolized by CYP3A4, and St John's Wort is a CYP3A4 inducer."", 'Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.'",'Avoid alcohol,0
996,Lercanidipine,"['Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.', 'Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.', ""Exercise caution with St. John's Wort. Lercanidipine is metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer."", 'Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.']",254,"'Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.', 'Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.', ""Exercise caution with St John's Wort. Lercanidipine is metabolized by CYP3A4, and St John's Wort is a CYP3A4 inducer."", 'Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.'","Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension",0
997,Lercanidipine,"['Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.', 'Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.', ""Exercise caution with St. John's Wort. Lercanidipine is metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer."", 'Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.']",254,"'Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.', 'Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.', ""Exercise caution with St John's Wort. Lercanidipine is metabolized by CYP3A4, and St John's Wort is a CYP3A4 inducer."", 'Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.'","', 'Avoid grapefruit products",0
