,name,drug_index,interaction
828,Cephalexin,278,'Take with or without food
829,Fondaparinux,279,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
830,Vinblastine,280,'Avoid grapefruit products
831,Vinblastine,280,"Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of vinblastine"
832,Vinblastine,280,"', ""Exercise caution with St John's Wort"
833,Vinblastine,280,"This herb induces CYP3A metabolism, which may reduce serum levels of vinblastine"
834,Propranolol,281,'Avoid alcohol
835,Propranolol,281,Alcohol increases propranolol plasma concentrations
836,Propranolol,281,"', 'Avoid natural licorice"
837,Propranolol,281,"Natural licorice inhibits the metabolism of propranolol, increasing drug exposure"
838,Propranolol,281,"', 'Take with food"
839,Atropine,282,'Avoid alcohol
840,Atropine,282,"', 'Take with food"
841,Atropine,282,Food reduces irritation
842,Fenoprofen,283,'Avoid alcohol
843,Fenoprofen,283,"', 'Take with food"
844,Fenoprofen,283,Food reduces irritation
845,Fenfluramine,284,'Take with or without food
846,Fenfluramine,284,The absorption is unaffected by food
847,Clonidine,285,'Avoid alcohol
848,Clonidine,285,"', 'Take with or without food"
849,Clonidine,285,The absorption is unaffected by food
850,Sulfamethizole,286,'Take separate from meals
851,Sulfamethizole,286,Take Urobiotic at least 1 hour before or 2 hours after eating
852,Valaciclovir,287,'Take with or without food
853,Carbenicillin,288,'Take on an empty stomach
854,Mazindol,289,'Take with or without food
855,Mazindol,289,Preferably take 1 hour before a meal
856,Mazindol,289,Taking with food may reduce GI disturbance
857,Valdecoxib,290,'Avoid alcohol
858,Valdecoxib,290,Ingesting alcohol may increase the risk of gastrointestinal bleeding
859,Valdecoxib,290,"', 'Take with or without food"
860,Lactulose,291,'Drink plenty of fluids
861,Lactulose,291,This drug may cause fluid loss
862,Lactulose,291,"', 'Take with or without food"
863,Voriconazole,292,'Take separate from meals
864,Voriconazole,292,Take voriconazole at least one hour before or after eating for optimal absorption
865,Levocarnitine,293,'Take with food
866,Levocarnitine,293,"Taking levocarnitine oral solution with meals may reduce gastrointestinal upset such as nausea, vomiting, and cramping"
867,Enalapril,294,'Avoid hypertensive herbs (e
868,Enalapril,294,"bayberry, blue cohosh, cayenne, ephedra, and licorice)"
869,Enalapril,294,Additive hypertensive effects may occur
870,Enalapril,294,"', 'Avoid potassium-containing products"
871,Enalapril,294,Potassium products increase the risk of hyperkalemia
872,Enalapril,294,"', 'Take with or without food"
873,Enalapril,294,The absorption is unaffected by food
874,Nizatidine,295,'Avoid alcohol
875,Nizatidine,295,"', 'Limit caffeine intake"
876,Nizatidine,295,"', 'Take with or without food"
877,Nizatidine,295,The absorption is unaffected by food
878,Diclofenac,296,'Avoid excessive or chronic alcohol consumption
879,Diclofenac,296,"Co-administration with alcohol may increase the risk of gastrointestinal side effects, such as ulceration"
880,Diclofenac,296,"', 'Take with food"
881,Diclofenac,296,Food reduces gastric irritation
882,Doxazosin,297,'Avoid alcohol
883,Doxazosin,297,"', 'Take with or without food"
884,Piperazine,298,'Take with or without food
885,Piperazine,298,The absorption is unaffected by food
886,Ethosuximide,299,'Avoid alcohol
887,Ethosuximide,299,"', 'Take with food"
888,Amiloride,300,'Avoid drastic dietary changes
889,Amiloride,300,"', 'Avoid natural licorice"
890,Amiloride,300,"', 'Avoid potassium-containing products"
891,Amiloride,300,"', 'Take with food"
892,Amiloride,300,Food reduces irritation
893,Oxytetracycline,301,'Avoid milk and dairy products
894,Oxytetracycline,301,Take at least 1 hour before or two hours after consuming dairy products
895,Oxytetracycline,301,"', 'Take separate from meals"
896,Oxytetracycline,301,Take at least one hour before or two hours after a meal
897,Labetalol,302,'Take with or without food
898,Labetalol,302,The absorption is unaffected by food
899,Thiopental,303,'Avoid alcohol
900,Thiopental,303,Additive CNS depression may occur if alcohol is consumed with thiopental
901,Linezolid,304,'Avoid tyramine-containing foods and supplements
902,Linezolid,304,Avoid food containing high amounts of tyramine (>100mg)
903,Linezolid,304,"Tyramine-containing foods include cheese, red wine, fava beans, pickled foods, cured foods, and alcoholic beverages"
904,Linezolid,304,"', 'Take with or without food"
905,Linezolid,304,Co-administration with food does not significantly alter the pharmacokinetics of linezolid
906,Ivermectin,305,'Take on an empty stomach
907,Ivermectin,305,Oral ivermectin should be taken on an empty stomach with a glass of water
908,Medroxyprogesterone acetate,306,"""Avoid St John's Wort"
909,Medroxyprogesterone acetate,306,St John's Wort may decrease the effectiveness of medroxyprogesterone acetate
910,Medroxyprogesterone acetate,306,""", 'Take with food"
911,Medroxyprogesterone acetate,306,Food increases the bioavailability of medroxyprogesterone acetate
912,Cisapride,307,'Avoid grapefruit products
913,Cisapride,307,"', ""Exercise caution with St John's Wort"
914,Cisapride,307,""", 'Take before a meal"
915,Cisapride,307,Take at least 15 minutes before meals
916,Sulindac,308,'Avoid alcohol
917,Sulindac,308,Ingesting alcohol may increase the risk of gastrointestinal bleeding
918,Sulindac,308,"', 'Take with food"
919,Nafcillin,309,'Take on an empty stomach
920,Nafcillin,309,Food may make the absorption of oral nafcillin unpredictable
921,Chloroquine,310,'Take with food
922,Chloroquine,310,Food reduces irritation and increases bioavailability
923,Ethionamide,311,'Take with or without food
924,Ethionamide,311,Taking Ethionamide with food may reduce gastrointestinal upset
925,Butorphanol,312,'Avoid alcohol
926,Bisoprolol,313,'Take with or without food
927,Bisoprolol,313,The absorption is unaffected by food
928,Rifabutin,314,'Take with or without food
929,Rifabutin,314,"For those patients with propensity to nausea, vomiting, or other gastrointestinal upset, taking with food may be useful"
930,Demeclocycline,315,'Avoid milk and dairy products
931,Demeclocycline,315,"', 'Avoid multivalent ions"
932,Demeclocycline,315,"', 'Take on an empty stomach"
933,Imatinib,316,'Avoid grapefruit products
934,Imatinib,316,"Grapefruit inhibits CYP3A4 metabolism, which can increase serum levels of imatinib"
935,Imatinib,316,"', ""Exercise caution with St John's Wort"
936,Imatinib,316,"This herb induces CYP3A4 metabolism, which may reduce the serum concentration of imatinib"
937,Imatinib,316,""", 'Take with a full glass of water"
938,Imatinib,316,Taking imatinib with water may reduce gastric irritation
939,Imatinib,316,"', 'Take with food"
940,Imatinib,316,Food reduces gastric irritation
941,Nicardipine,317,'Avoid grapefruit products
942,Nicardipine,317,"', 'Take with or without food"
943,Nicardipine,317,The absorption is unaffected by food
944,Fluphenazine,318,'Avoid alcohol
945,Fluphenazine,318,"', 'Take with food"
946,Fluphenazine,318,Food reduces irritation
947,Efavirenz,319,'Avoid excessive or chronic alcohol consumption
948,Efavirenz,319,Alcohol may contribute to additive adverse effects when taken with efavirenz
949,Efavirenz,319,"', 'Take on an empty stomach"
950,Efavirenz,319,Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions
951,Efavirenz,319,"In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration"
952,Niacin,320,'Avoid alcohol
953,Niacin,320,Alcohol increases the chance of flushing and pruritus
954,Niacin,320,"', 'Take with food"
955,Niacin,320,Food reduces gastrointestinal upset and irritation
956,Clorazepic acid,321,'Avoid alcohol
957,Clorazepic acid,321,The concomitant use of clorazepate and alcohol may lead to an increased frequency of serious adverse outcomes
958,Clorazepic acid,321,"', 'Take with or without food"
959,Clorazepic acid,321,The absorption is unaffected by food
960,Alendronic acid,322,'Administer vitamin supplements
961,Alendronic acid,322,Patients may require supplemental vitamin D
962,Alendronic acid,322,"', 'Avoid multivalent ions"
963,Alendronic acid,322,"Calcium, antacids, and divalent ions may interfere with the absorption of this medication"
964,Alendronic acid,322,"', 'Take before a meal"
965,Alendronic acid,322,Take 30-60 minutes before breakfast
966,Alendronic acid,322,"', 'Take with a full glass of water"
967,Clofarabine,323,'Avoid echinacea
968,Clofarabine,323,"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants"
969,Clofarabine,323,Monitor for reduced efficacy of the immunosuppressant during concomitant use
970,Prednisone,324,'Avoid alcohol
971,Prednisone,324,"', 'Take with food"
972,Prednisone,324,Food reduces irritation
973,Clofibrate,325,'Take with food
974,Clofibrate,325,Food decreases the risk of GI side effects
975,Astemizole,326,'Take on an empty stomach
976,Astemizole,326,Food decreases absorption
977,Adenosine,327,'Avoid caffeine
978,Adenosine,327,Caffeine may antagonise the activity of adenosine
979,Simvastatin,328,'Avoid grapefruit products
980,Simvastatin,328,Co-administration with grapefruit products may increase the risk for adverse effects such as myalgia
981,Pemetrexed,329,'Administer folic acid supplement
982,Pemetrexed,329,Folic acid supplement of 400 to 1000 mcg daily should be given 7 days before treatment with pemetrexed and continued until 21 days after discontinuation of pemetrexed to reduce the risk of hematologic and gastrointestinal toxicities
983,Pemetrexed,329,"', 'Administer vitamin supplements"
984,Pemetrexed,329,Administration of vitamin B12 intramuscular supplement one week before treatment with pemetrexed and every three cycles will reduce the risk of hematological and gastrointestinal toxicities
985,Mebendazole,330,'Take with or without food
986,Dyclonine,331,'Take separate from meals
987,Dyclonine,331,"Using Dyclonine in the mouth or for relief of ulcers in the stomach may cause numbness of the mouth, which increases the risk of biting injury"
988,Dyclonine,331,"Avoid ingesting food for 60 minutes after use, or until the numbness has subsided"
989,Dextropropoxyphene,332,'Avoid alcohol
990,Dextropropoxyphene,332,"', 'Take with or without food"
991,Dextropropoxyphene,332,Food does not significantly affect absorption
992,Mitotane,333,'Take with food
993,Mitotane,333,The timing of mitotane administration relative to food intake should remain consistent
994,Mitotane,333,Co-administration with high-fat food enhances absorption
995,Stavudine,334,'Avoid alcohol
996,Stavudine,334,Ingesting alcohol while taking stavudine may increase the risk of liver damage and pancreatitis
997,Stavudine,334,"', 'Take with or without food"
998,Pentazocine,335,'Avoid alcohol
999,Pentazocine,335,"', 'Take with or without food"
1000,Pentazocine,335,Food does not significantly affect absorption
1001,Estrone,336,'Avoid alcohol
1002,Estrone,336,Ingesting alcohol may increase serum concentrations of estradiol
1003,Estrone,336,"', 'Avoid grapefruit products"
1004,Estrone,336,"Grapefruit inhibits CYP3A4 and therefore, may increase estrone concentrations, potentially increasing its adverse effects"
1005,Trazodone,337,'Avoid alcohol
1006,Trazodone,337,"', ""Avoid St John's Wort"
1007,Trazodone,337,The risk of serotonin syndrome may be increased
1008,Trazodone,337,""", 'Take after a meal"
1009,Trazodone,337,Should be taken shortly after a light meal or snack
1010,Mecamylamine,338,'Avoid excessive or chronic alcohol consumption
1011,Mecamylamine,338,The ingestion of alcohol may potentiate the actions of mecamylamine
1012,Mecamylamine,338,"', 'Take after a meal"
1013,Mecamylamine,338,This slows mecamylamine absorption allowing for a gradual reduction in blood pressure
1014,Mecamylamine,338,Take consistently at the same time in regard to meals
1015,Sevelamer,339,'Take with food
1016,Acamprosate,340,'Take with or without food
1017,Acamprosate,340,"Food decreases drug absorption, but not to a clinically significant extent"
1018,Metaxalone,341,'Avoid excessive or chronic alcohol consumption
1019,Metaxalone,341,Alcohol may increase the CNS depressant effects of metaxalone
1020,Metaxalone,341,"', 'Take with or without food"
1021,Metaxalone,341,"The absorption of metaxalone is increased when taken with food, which may increase CNS depression, especially in the elderly"
1022,Verapamil,342,'Avoid alcohol
1023,Verapamil,342,"Verapamil significantly inhibits the elimination of alcohol, leading to elevated blood alcohol levels"
1024,Verapamil,342,"', 'Avoid grapefruit products"
1025,Verapamil,342,Co-administration with grapefruit may significantly increase serum concentrations
1026,Verapamil,342,"', 'Take with or without food"
1027,Verapamil,342,Recommendations vary from product to product - consult individual product monographs for additional information
1028,Trimethobenzamide,343,'Avoid alcohol
1029,Trimethobenzamide,343,Ingestion of alcohol may increase the CNS depressant effects of trimethobenzamide causing drowsiness
1030,Nilutamide,344,'Avoid alcohol
1031,Nilutamide,344,"', 'Take separate from meals"
1032,Nilutamide,344,Take before breakfast
1033,Nafarelin,345,'Avoid excessive or chronic alcohol consumption
1034,Nafarelin,345,Ingesting alcohol in excess may increase the risk of bone thinning associated with taking nafarelin
1035,Sumatriptan,346,'Avoid excessive or chronic alcohol consumption
1036,Sumatriptan,346,"Alcohol increased the risk of GI bleeding, ulcer, and perforation when taken with sumatriptan"
1037,Sumatriptan,346,"', 'Take with or without food"
1038,Pirenzepine,347,'Take on an empty stomach
1039,Pirenzepine,347,Take pirenzepine at least 30 minutes before meals
1040,Cefixime,348,'Take with or without food
1041,Cefixime,348,The capsule and tablet may be administered without regard to food
1042,Cefixime,348,"However, the time to maximal absorption is increased approximately 0"
1043,Cefixime,348,8 hours when administered with food while taking with food reduces the absorption following administration of the capsule by approximately 15% based on AUC and 25% based on Cmax
1044,Chlorpropamide,349,'Avoid alcohol
1045,Chlorpropamide,349,"', 'Take before a meal"
1046,Chlorpropamide,349,Take 30 minutes before a meal
1047,Chlorpropamide,349,"', 'Take on an empty stomach"
1048,Chlorpropamide,349,Food decreases the rate of absorption
1049,Aprepitant,350,'Take with or without food
1050,Aprepitant,350,The absorption is unaffected by food
1051,Galantamine,351,'Take with food
1052,Galantamine,351,Food delays the rate of absorption but not the extent
1053,Tamoxifen,352,"""Exercise caution with St John's Wort"
1054,Tamoxifen,352,"This herb induces CYP3A4 metabolism, which may reduce the serum concentration of tamoxifen"
1055,Tamoxifen,352,""", 'Take with a full glass of water"
1056,Tamoxifen,352,"', 'Take with or without food"
1057,Losartan,353,'Take at the same time every day
1058,Losartan,353,"', 'Take with or without food"
1059,Losartan,353,"Food delays absorption, but does not affect the extent of absorption"
1060,Thioridazine,354,'Avoid alcohol
1061,Thioridazine,354,Ingesting alcohol may potentiate the CNS depressant actions of thioridazine
1062,Warfarin,355,'Avoid drastic dietary changes
1063,Warfarin,355,"', 'Avoid foods rich in vitamin K"
1064,Warfarin,355,Vitamin K in foods such as leafy vegetables can reduce warfarin efficacy
1065,Warfarin,355,"', 'Avoid grapefruit products"
1066,Warfarin,355,"They may interfere with warfarin metabolism and increase INR, increasing the risk of bleeding"
1067,Warfarin,355,"', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity"
1068,Warfarin,355,"', ""Avoid St John's Wort"
1069,Warfarin,355,This drug may reduce warfarin efficacy
1070,Midazolam,356,'Avoid alcohol
1071,Midazolam,356,Midazolam may make your sleepiness or dizziness worse
1072,Midazolam,356,"', 'Avoid grapefruit products"
1073,Midazolam,356,Bioavailability of midazolam can increase
1074,Trovafloxacin,357,'Avoid multivalent ions
1075,Trovafloxacin,357,"', 'Take separate from antacids"
1076,Trovafloxacin,357,Take at least 2 hours before or after antacids
1077,Trovafloxacin,357,"', 'Take with or without food"
1078,Trovafloxacin,357,Taking trovafloxacin with food may reduce the risk of dizziness
1079,Pentosan polysulfate,358,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
1080,Pentosan polysulfate,358,"Taking pentosan polysulfate with anticoagulant herbs may increase bleeding risk, which is an adverse effect of pentosan polysulfate"
1081,Pentosan polysulfate,358,"', 'Take on an empty stomach"
1082,Pentosan polysulfate,358,Take at least 1 hour before or 2 hours after meals
1083,Fludrocortisone,359,'Limit salt intake
1084,Fludrocortisone,359,Excessive intake of salt can result in hypertension and edema
1085,Mycophenolate mofetil,360,'Avoid multivalent ions
1086,Mycophenolate mofetil,360,"Take multivalent ions such as calcium, iron, or magnesium at least 2 hours after taking this medication"
1087,Mycophenolate mofetil,360,"', 'Take on an empty stomach"
1088,Mycophenolate mofetil,360,Take at least 1 hour before or 2 hours after meals
1089,Flurazepam,361,'Avoid alcohol
1090,Flurazepam,361,"', 'Take with or without food"
1091,Flurazepam,361,The absorption is unaffected by food
1092,Moexipril,362,'Avoid hypertensive herbs (e
1093,Moexipril,362,"bayberry, blue cohosh, cayenne, ephedra, and licorice)"
1094,Moexipril,362,"', 'Avoid potassium-containing products"
1095,Moexipril,362,Potassium products increase the risk of hyperkalemia
1096,Moexipril,362,"', 'Limit salt intake"
1097,Moexipril,362,Salt may attenuate the antihypertensive effect
1098,Moexipril,362,"', 'Take separate from meals"
1099,Moexipril,362,Take 1 hour before meals
1100,Furosemide,363,'Avoid excessive or chronic alcohol consumption
1101,Furosemide,363,Alcohol increases the risk of orthostatic hypotension
1102,Furosemide,363,"', 'Avoid natural licorice"
1103,Furosemide,363,"Avoid licorice in large amounts, as it may lead to hypokalemia"
1104,Furosemide,363,"', 'Increase consumption of potassium-rich foods"
1105,Furosemide,363,This medication may cause potassium depletion
1106,Furosemide,363,Foods containing potassium include bananas and orange juice
1107,Ergotamine,364,'Take with or without food
1108,Ergotamine,364,The absorption is unaffected by food
1109,Tizanidine,365,'Avoid alcohol
1110,Tizanidine,365,"', 'Take with or without food"
1111,Tizanidine,365,"Maintain the same schedule with regard to meals, as concentrations increase in the fasted state and decrease in the fed state"
1112,Nitrofurantoin,366,'Take with food
1113,Nitrofurantoin,366,Food decreases irritation and increases bioavailability
1114,Eplerenone,367,'Avoid grapefruit products
1115,Eplerenone,367,Grapefruit juice may increase the serum levels of eplerenone by 25% by inhibiting CYP3A4
1116,Eplerenone,367,"', 'Take with or without food"
1117,Amprenavir,368,'Avoid alcohol
1118,Amprenavir,368,Drug impairs alcohol metabolism
1119,Amprenavir,368,"', 'Avoid fatty foods"
1120,Amprenavir,368,"', 'Take with or without food"
1121,Methazolamide,369,'Drink plenty of fluids
1122,Methazolamide,369,"', 'Take with food"
1123,Naltrexone,370,'Take with or without food
1124,Naltrexone,370,The absorption is unaffected by food
1125,Delavirdine,371,'Take with or without food
1126,Delavirdine,371,The absorption is unaffected by food
1127,Tamsulosin,372,'Take after a meal
1128,Tamsulosin,372,Take 30 minutes after the same meal each day to reduce plasma level variations
1129,Sufentanil,373,'Avoid alcohol
1130,Sufentanil,373,Ingesting alcohol may potentiate the CNS depressant effects of sufentanil
1131,Sufentanil,373,"', 'Avoid grapefruit products"
1132,Sufentanil,373,"Sufentanil is a CYP3A4 substrate; therefore, concomitant ingestion of CYP3A4 inhibitors like grapefruit products may increase serum levels of sufentanil and potentiate CNS depression"
1133,Lamivudine,374,'Take with or without food
1134,Lamivudine,374,"Food delays drug absorption, but not to a clinically significant extent"
1135,Ibandronate,375,'Take on an empty stomach
1136,Ibandronate,375,"', 'Take with a full glass of water"
1137,Ibandronate,375,Do not take this medication with other liquids
1138,Diethylcarbamazine,376,'Take after a meal
1139,Flurbiprofen,377,'Avoid alcohol
1140,Flurbiprofen,377,"', 'Take with food"
1141,Flurbiprofen,377,Food reduces irritation
1142,Apomorphine,378,'Avoid alcohol
1143,Apomorphine,378,Ingesting alcohol may potentiate hypotension caused by apomorphine
1144,Paroxetine,379,'Avoid alcohol
1145,Paroxetine,379,"', 'Take with or without food"
1146,Paroxetine,379,Food does not significantly affect absorption
1147,Norethisterone,380,'Take with or without food
1148,Norethisterone,380,"Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent"
1149,Adefovir dipivoxil,381,'Take with or without food
1150,Adefovir dipivoxil,381,The absorption is unaffected by food
1151,Azatadine,382,'Avoid alcohol
1152,Azatadine,382,"', 'Take with food"
1153,Azatadine,382,Food reduces irritation
1154,Clodronic acid,383,'Take on an empty stomach
1155,Clodronic acid,383,Co-administration with food may decrease absorption
1156,Lisinopril,384,'Avoid hypertensive herbs (e
1157,Lisinopril,384,"bayberry, blue cohosh, cayenne, ephedra, and licorice)"
1158,Lisinopril,384,"', 'Avoid potassium-containing products"
1159,Lisinopril,384,Potassium products increase the risk of hyperkalemia
1160,Lisinopril,384,"', 'Limit salt intake"
1161,Lisinopril,384,Salt may attenuate the antihypertensive effect
1162,Lisinopril,384,"', 'Take with or without food"
1163,Lisinopril,384,The absorption is unaffected by food
1164,Imiquimod,385,'Take with or without food
1165,Trimipramine,386,'Avoid alcohol
1166,Trimipramine,386,Ingesting alcohol may increase the risk of adverse effects of trimipramine such as sedation and orthostatic hypotension
1167,Nitroglycerin,387,'Avoid alcohol
1168,Nitroglycerin,387,Alcohol can increase the risk of hypotension
1169,Nateglinide,388,'Take with food
1170,Nateglinide,388,Take up to 30 minutes before meals
1171,Risperidone,389,'Take with or without food
1172,Risperidone,389,Food does not affect the rate or extent of absorption
1173,Esomeprazole,390,'Take with or without food
1174,Esomeprazole,390,"Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent"
1175,Meclizine,391,'Avoid alcohol
1176,Meclizine,391,Alcohol may cause additive CNS depressant effects
1177,Riluzole,392,'Take on an empty stomach
1178,Riluzole,392,Take at least 1 hour before or 2 hours after meals
1179,Hydrocortisone,393,'Avoid alcohol
1180,Zileuton,394,'Avoid excessive or chronic alcohol consumption
1181,Zileuton,394,"', 'Exercise caution with grapefruit products"
1182,Zileuton,394,Zileuton is partially metabolized through CYP3A4
1183,Zileuton,394,"Therefore grapefruit, a CYP3A4 inhibitor, may reduce the metabolism of zileuton"
1184,Zileuton,394,"', ""Exercise caution with St John's Wort"
1185,Zileuton,394,Zileuton is partially metabolized through CYP3A4
1186,Zileuton,394,Therefore St John's Wort may increase the metabolism of zileuton
1187,Zileuton,394,""", 'Take with food"
1188,Zileuton,394,"The AUC and Cmin of zileuton extended-release tablets are increased by food, and therefore should be taken with meals"
1189,Zileuton,394,"', 'Take with or without food"
1190,Zileuton,394,ZYFLO (zileuton) regular release tablets can be taken with or without food
1191,Modafinil,395,'Take with or without food
1192,Modafinil,395,The absorption is unaffected by food
1193,Scopolamine,396,'Avoid grapefruit products
1194,Scopolamine,396,Coadministration of scopolamine with grapefruit juice has been shown to delay scopolamine absorption and increase its bioavailability without altering its elimination
1195,Carbinoxamine,397,'Avoid alcohol
1196,Carbinoxamine,397,Ingesting alcohol may increase drowsiness caused by carbinoxamine
1197,Carbinoxamine,397,"', 'Take on an empty stomach"
1198,Etodolac,398,'Avoid alcohol
1199,Etodolac,398,"', 'Take with food"
1200,Etodolac,398,Food reduces irritation
1201,Prilocaine,399,'Take separate from meals
1202,Prilocaine,399,"This is only required when prilocaine is used in the mouth, as it may cause numbness, which can cause bite injury when eating"
1203,Tranylcypromine,400,'Avoid alcohol
1204,Tranylcypromine,400,Ingesting alcohol may increase the CNS depressant effects of tranylcypromine
1205,Tranylcypromine,400,"', ""Avoid St John's Wort"
1206,Tranylcypromine,400,Administering tranylcypromine with St John's Wort may increase the risk of serotonin syndrome
1207,Tranylcypromine,400,""", 'Avoid tyramine-containing foods and supplements"
1208,Tranylcypromine,400,Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis
1209,Tranylcypromine,400,"Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans"
1210,Ethotoin,401,'Take after a meal
1211,Ethotoin,401,This may reduce gastrointestinal upset
1212,Tretinoin,402,'Take with food
1213,Tretinoin,402,"Effect of food on tretinoin absorption is unclear, but food increases the bioavailability of retinoids drug class"
1214,Dolasetron,403,'Take with or without food
1215,Dolasetron,403,The absorption is unaffected by food
1216,Clopidogrel,404,'Take with or without food
1217,Tetracycline,405,'Avoid milk and dairy products
1218,Tetracycline,405,"', 'Take on an empty stomach"
1219,Tetracycline,405,Take at least 1 hour before or 2 hours after meals
1220,Tetracycline,405,"', 'Take with a full glass of water"
1221,Potassium chloride,406,'Take with a full glass of water
1222,Potassium chloride,406,"', 'Take with food"
1223,Potassium chloride,406,This reduces gastrointestinal irritation
1224,Metyrosine,407,'Avoid alcohol
1225,Metyrosine,407,Ingesting alcohol may increase the sedative and CNS depressant effects of metyrosine
1226,Clavulanic acid,408,'Take with food
1227,Clavulanic acid,408,Take at the beginning of a meal to reduce gastric irritation
1228,Clidinium,409,'Avoid alcohol
1229,Clidinium,409,Ingesting alcohol may increase the CNS depressant effects of the combination product Chlordiazepoxide HCl and Clidinium Bromide
1230,Clidinium,409,"', 'Take before a meal"
1231,Etoposide,410,'Avoid grapefruit products
1232,Etoposide,410,"Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of etoposide"
1233,Etoposide,410,"', ""Exercise caution with St John's Wort"
1234,Etoposide,410,"This herb induces CYP3A4 metabolism, which may reduce serum levels of etoposide"
1235,Hydroflumethiazide,411,'Increase consumption of potassium-rich foods
1236,Hydroflumethiazide,411,This medication may cause a loss of potassium
1237,Oxcarbazepine,412,'Avoid alcohol
1238,Oxcarbazepine,412,Oxcarbazepine has CNS depressant properties that may be potentiated by co-administration with alcohol
1239,Oxcarbazepine,412,"', 'Take with or without food"
1240,Oxcarbazepine,412,Co-administration with food does not significantly affect absorption
1241,Nalidixic acid,413,'Drink plenty of fluids
1242,Nalidixic acid,413,"', 'Take with food"
1243,Nalidixic acid,413,Food reduces irritation
1244,Phenelzine,414,'Avoid alcohol
1245,Phenelzine,414,"', ""Avoid St John's Wort"
1246,Phenelzine,414,Administering phenelzine with St John's Wort may increase the risk of serotonin syndrome
1247,Phenelzine,414,""", 'Avoid tyramine-containing foods and supplements"
1248,Phenelzine,414,Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis
1249,Phenelzine,414,"Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans"
1250,Phenelzine,414,"', 'Limit caffeine intake"
1251,Phenelzine,414,Excess caffeine intake can also cause a hypertensive crisis
1252,Propantheline,415,'Take before a meal
1253,Propantheline,415,Take before a meal
1254,Propantheline,415,Propantheline bromide should be taken 15 to 30 minutes before meals
1255,Mefenamic acid,416,'Avoid alcohol
1256,Mefenamic acid,416,"', 'Take with food"
1257,Acyclovir,417,'Drink plenty of fluids
1258,Acyclovir,417,Dehydration with acyclovir predisposes patients to nephrotoxicity
1259,Acyclovir,417,"', 'Take with or without food"
1260,Acyclovir,417,The absorption is unaffected by food
1261,Naproxen,418,'Take with food
1262,Naproxen,418,Food reduces GI irritation
1263,Perindopril,419,'Avoid hypertensive herbs (e
1264,Perindopril,419,"bayberry, blue cohosh, cayenne, ephedra, and licorice)"
1265,Perindopril,419,"', 'Avoid potassium-containing products"
1266,Perindopril,419,Potassium products increase the risk of hyperkalemia
1267,Perindopril,419,"', 'Limit salt intake"
1268,Perindopril,419,Salt may attenuate the antihypertensive effect
1269,Perindopril,419,"', 'Take with or without food"
1270,Perindopril,419,The absorption is unaffected by food
1271,Primidone,420,'Avoid alcohol
1272,Primidone,420,"', ""Avoid St John's Wort"
1273,Sulfasalazine,421,'Drink plenty of fluids
1274,Sulfasalazine,421,Inadequate fluid intake is associated with crystalluria and stone formation
1275,Candesartan cilexetil,422,'Take at the same time every day
1276,Candesartan cilexetil,422,"', 'Take with or without food"
1277,Candesartan cilexetil,422,The absorption is unaffected by food
1278,Fenoldopam,423,'Take on an empty stomach
1279,Fenoldopam,423,Orally administered fenoldopam should be taken in a fasted state for optimal absorption
1280,Dicyclomine,424,'Avoid alcohol
1281,Dicyclomine,424,Alcohol may increase drowsiness caused by dicyclomine
1282,Dicyclomine,424,"', 'Drink plenty of fluids"
1283,Dicyclomine,424,"Dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise"
1284,Pentoxifylline,425,'Limit caffeine intake
1285,Pentoxifylline,425,"', 'Take with food"
1286,Pentoxifylline,425,Administration with food may reduce irritation
1287,Pentoxifylline,425,Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1
1288,Pentoxifylline,425,1- and 1
1289,Pentoxifylline,425,"3-fold, respectively) achieved with an extended-release tablet"
1290,Indapamide,426,'Avoid alcohol
1291,Indapamide,426,Alcohol may potentiate orthostatic hypotension
1292,Indapamide,426,"', 'Increase consumption of potassium-rich foods"
1293,Indapamide,426,Indapamide my cause potassium depletion leading to hypokalemia
1294,Indapamide,426,"', 'Take with or without food"
1295,Biperiden,427,'Avoid alcohol
1296,Biperiden,427,"', 'Take with food"
1297,Ribavirin,428,'Avoid alcohol
1298,Ribavirin,428,Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection
1299,Ribavirin,428,"', 'Take with food"
